component,error,passed
Dense,4.5595729163455755e-11,True
ReLU,1.6291464363522816e-11,True
Tanh,2.3104978700762998e-11,True
Sigmoid,7.913912692354595e-11,True
Dropout(0.4),2.596831349845482e-11,True
SoftmaxCrossEntropy,1.4883331774945724e-10,True
MeanSquaredError,1.6708314070529807e-10,True
MLP 6-8-5-3,2.0620210067042518e-10,True
MLP with dropout,8.566633954045978e-11,True
MLP with tanh,1.5394803003274845e-10,True
