model,network_only,other_only,chi2,p_value
majority class,8700,9,8671.041451372144,0.0
logistic regression,619,42,501.9304084720121,3.6137156607488564e-111
linear SVM,695,38,587.0886766712142,1.076874907942468e-129
k nearest neighbours,228,79,71.3485342019544,2.9938021112805735e-17
random forest,181,57,63.5672268907563,1.5498631101158986e-15
